"species","longitude","latitude"
"Papilio",114.1875,22.52083333
"Papilio",114.1875,22.5625
"Papilio",114.1875,22.60416667
"Papilio",114.1875,22.6875
"Papilio",114.2291667,22.35416667
"Papilio",114.2291667,22.39583333
"Papilio",114.2291667,22.4375
"Papilio",114.2291667,22.52083333
"Papilio",114.2291667,22.5625
"Papilio",114.2708333,22.39583333
"Papilio",114.2708333,22.4375
"Papilio",114.2708333,22.47916667
"Papilio",114.2708333,30.35416667
"Papilio",114.2708333,31.97916667
"Papilio",114.3125,22.4375
"Papilio",114.3125,22.60416667
"Papilio",114.3125,29.77083333
"Papilio",114.3125,30.3125
"Papilio",114.3125,30.35416667
"Papilio",114.3125,30.60416667
"Papilio",114.3125,31.97916667
"Papilio",114.3125,34.8125
"Papilio",114.3541667,30.52083333
"Papilio",114.3541667,30.60416667
"Papilio",114.3541667,31.22916667
"Papilio",114.3958333,30.02083333
"Papilio",114.3958333,30.5625
"Papilio",114.4375,30.39583333
"Papilio",114.4375,30.52083333
"Papilio",114.4375,30.5625
"Papilio",114.4791667,30.27083333
"Papilio",114.4791667,38.02083333
"Papilio",114.5208333,38.0625
"Papilio",114.6041667,28.14583333
"Papilio",114.6875,27.97916667
"Papilio",114.7708333,22.97916667
"Papilio",114.8958333,28.0625
"Papilio",114.8958333,33.4375
"Papilio",114.9791667,28.22916667
"Papilio",115.3541667,31.5625
"Papilio",115.4375,31.5625
"Papilio",115.4791667,40.02083333
"Papilio",115.5625,39.60416667
"Papilio",115.6041667,39.64583333
"Papilio",115.6041667,39.9375
"Papilio",115.6458333,39.9375
"Papilio",115.6875,39.9375
"Papilio",115.7708333,28.77083333
"Papilio",115.8125,25.1875
"Papilio",115.8125,25.5625
"Papilio",115.8125,28.77083333
"Papilio",115.8541667,40.39583333
"Papilio",115.9375,39.72916667
"Papilio",115.9791667,39.10416667
"Papilio",116.0208333,40.0625
"Papilio",116.0625,40.10416667
"Papilio",116.1041667,40.27083333
"Papilio",116.1458333,40.27083333
"Papilio",116.1875,39.72916667
"Papilio",116.1875,39.97916667
"Papilio",116.1875,40.02083333
"Papilio",116.1875,40.35416667
"Papilio",116.2291667,33.8125
"Papilio",116.2291667,39.97916667
"Papilio",116.2291667,40.02083333
"Papilio",116.2708333,39.97916667
"Papilio",116.3125,39.9375
"Papilio",116.3541667,39.97916667
"Papilio",116.3541667,40.02083333
"Papilio",116.3541667,40.10416667
"Papilio",116.3958333,39.1875
"Papilio",116.3958333,39.89583333
"Papilio",116.3958333,39.9375
"Papilio",116.3958333,40.02083333
"Papilio",116.4375,39.97916667
"Papilio",116.4791667,39.8125
"Papilio",116.5208333,40.4375
"Papilio",116.5625,40.1875
"Papilio",116.6458333,29.8125
"Papilio",116.6458333,40.39583333
"Papilio",116.6875,36.3125
"Papilio",116.6875,40.39583333
"Papilio",116.6875,40.52083333
"Papilio",116.6875,40.5625
"Papilio",116.7291667,40.64583333
"Papilio",116.7708333,40.47916667
"Papilio",116.8541667,36.52083333
"Papilio",116.9791667,36.27083333
"Papilio",116.9791667,39.10416667
"Papilio",116.9791667,39.39583333
"Papilio",117.0625,30.52083333
"Papilio",117.0625,36.4375
"Papilio",117.1041667,36.52083333
"Papilio",117.1041667,36.60416667
"Papilio",117.1458333,36.52083333
"Papilio",117.1875,31.85416667
"Papilio",117.1875,36.47916667
"Papilio",117.1875,36.77083333
"Papilio",117.1875,39.0625
"Papilio",117.2291667,40.27083333
"Papilio",117.2708333,31.85416667
"Papilio",117.3958333,40.64583333
"Papilio",117.4791667,39.1875
"Papilio",117.4791667,40.64583333
"Papilio",117.5208333,40.14583333
"Papilio",117.7291667,31.9375
"Papilio",117.7291667,36.22916667
"Papilio",117.7291667,36.5625
"Papilio",117.7708333,36.52083333
"Papilio",117.9791667,27.6875
"Papilio",117.9791667,29.97916667
"Papilio",117.9791667,36.5625
"Papilio",118.0208333,30.89583333
"Papilio",118.0625,24.47916667
"Papilio",118.1458333,31.0625
"Papilio",118.2291667,33.47916667
"Papilio",118.2708333,32.27083333
"Papilio",118.3958333,32.0625
"Papilio",118.4375,39.72916667
"Papilio",118.5208333,32.02083333
"Papilio",118.5208333,32.0625
"Papilio",118.5625,32.0625
"Papilio",118.5625,32.10416667
"Papilio",118.6041667,32.10416667
"Papilio",118.6458333,32.0625
"Papilio",118.7291667,31.89583333
"Papilio",118.7708333,32.0625
"Papilio",118.7708333,32.10416667
"Papilio",118.8125,31.64583333
"Papilio",118.8125,32.0625
"Papilio",118.8125,32.10416667
"Papilio",118.8125,32.14583333
"Papilio",118.8541667,31.89583333
"Papilio",118.8541667,32.0625
"Papilio",118.8541667,32.10416667
"Papilio",118.8958333,29.47916667
"Papilio",118.8958333,31.89583333
"Papilio",118.9375,26.85416667
"Papilio",118.9375,31.89583333
"Papilio",118.9375,31.97916667
"Papilio",118.9791667,32.02083333
"Papilio",118.9791667,32.0625
"Papilio",118.9791667,32.10416667
"Papilio",118.9791667,32.14583333
"Papilio",118.9791667,33.60416667
"Papilio",119.0208333,31.60416667
"Papilio",119.0208333,32.0625
"Papilio",119.0208333,32.10416667
"Papilio",119.0208333,32.14583333
"Papilio",119.0625,32.0625
"Papilio",119.1041667,31.5625
"Papilio",119.1041667,32.10416667
"Papilio",119.1041667,32.22916667
"Papilio",119.1041667,36.6875
"Papilio",119.2708333,26.02083333
"Papilio",119.3125,31.64583333
"Papilio",119.3541667,32.14583333
"Papilio",119.3958333,25.9375
"Papilio",119.3958333,32.14583333
"Papilio",119.4375,30.64583333
"Papilio",119.4375,32.1875
"Papilio",119.4791667,31.27083333
"Papilio",119.5625,29.77083333
"Papilio",119.5625,30.77083333
"Papilio",119.6875,31.22916667
"Papilio",119.7708333,36.35416667
"Papilio",119.8125,31.1875
"Papilio",119.8125,40.02083333
"Papilio",119.8958333,30.64583333
"Papilio",119.9791667,31.8125
"Papilio",120.0208333,29.22916667
"Papilio",120.0208333,30.1875
"Papilio",120.1458333,28.6875
"Papilio",120.1458333,30.22916667
"Papilio",120.1875,23.0625
"Papilio",120.2291667,23.0625
"Papilio",120.2708333,27.02083333
"Papilio",120.3125,23.6875
"Papilio",120.3958333,23.22916667
"Papilio",120.3958333,23.72916667
"Papilio",120.4375,23.27083333
"Papilio",120.4375,31.22916667
"Papilio",120.4375,36.0625
"Papilio",120.4375,36.10416667
"Papilio",120.4791667,23.47916667
"Papilio",120.4791667,31.22916667
"Papilio",120.4791667,31.3125
"Papilio",120.5625,24.0625
"Papilio",120.5625,24.1875
"Papilio",120.6041667,23.60416667
"Papilio",120.6041667,23.89583333
"Papilio",120.6041667,23.97916667
"Papilio",120.6041667,24.10416667
"Papilio",120.6041667,24.22916667
"Papilio",120.6041667,36.1875
"Papilio",120.6458333,23.72916667
"Papilio",120.6458333,31.3125
"Papilio",120.6875,23.97916667
"Papilio",120.6875,24.14583333
"Papilio",120.7291667,23.9375
"Papilio",120.7291667,24.0625
"Papilio",120.7291667,24.1875
"Papilio",120.7291667,24.22916667
"Papilio",120.7291667,24.3125
"Papilio",120.7291667,24.4375
"Papilio",120.7291667,24.52083333
"Papilio",120.7708333,23.64583333
"Papilio",120.7708333,23.85416667
"Papilio",120.7708333,23.9375
"Papilio",120.7708333,24.0625
"Papilio",120.7708333,24.1875
"Papilio",120.7708333,24.27083333
"Papilio",120.7708333,24.3125
"Papilio",120.8125,23.8125
"Papilio",120.8125,24.10416667
"Papilio",120.8125,24.1875
"Papilio",120.8125,24.22916667
"Papilio",120.8125,24.27083333
"Papilio",120.8541667,23.9375
"Papilio",120.8541667,23.97916667
"Papilio",120.8541667,24.27083333
"Papilio",120.8958333,29.52083333
"Papilio",120.9375,23.89583333
"Papilio",120.9375,24.60416667
"Papilio",120.9375,24.64583333
"Papilio",120.9791667,23.97916667
"Papilio",120.9791667,24.14583333
"Papilio",120.9791667,24.72916667
"Papilio",120.9791667,24.77083333
"Papilio",121.0208333,24.64583333
"Papilio",121.0208333,24.72916667
"Papilio",121.0625,24.6875
"Papilio",121.0625,24.77083333
"Papilio",121.0625,24.8125
"Papilio",121.1041667,24.72916667
"Papilio",121.1041667,24.77083333
"Papilio",121.1041667,24.8125
"Papilio",121.1041667,24.85416667
"Papilio",121.1041667,29.72916667
"Papilio",121.1458333,24.6875
"Papilio",121.1875,24.10416667
"Papilio",121.1875,24.77083333
"Papilio",121.1875,24.85416667
"Papilio",121.1875,25.0625
"Papilio",121.1875,31.0625
"Papilio",121.2291667,24.77083333
"Papilio",121.2291667,31.14583333
"Papilio",121.3541667,24.9375
"Papilio",121.3541667,24.97916667
"Papilio",121.3541667,37.47916667
"Papilio",121.3958333,37.27083333
"Papilio",121.4375,31.14583333
"Papilio",121.4375,38.9375
"Papilio",121.5208333,25.02083333
"Papilio",121.5208333,25.10416667
"Papilio",121.5208333,25.27083333
"Papilio",121.5208333,29.85416667
"Papilio",121.5625,24.89583333
"Papilio",121.5625,24.97916667
"Papilio",121.5625,29.9375
"Papilio",121.5625,31.22916667
"Papilio",121.6041667,38.89583333
"Papilio",121.7291667,37.27083333
"Papilio",121.7708333,24.85416667
"Papilio",121.7708333,29.8125
"Papilio",121.7708333,39.02083333
"Papilio",121.8125,29.39583333
"Papilio",121.9375,29.1875
"Papilio",122.0208333,29.72916667
"Papilio",122.0208333,30.10416667
"Papilio",122.1041667,48.52083333
"Papilio",122.4375,37.35416667
"Papilio",122.4375,37.39583333
"Papilio",123.6458333,41.9375
"Papilio",123.6458333,42.0625
"Papilio",125.8958333,34.77083333
"Papilio",125.9791667,34.6875
"Papilio",125.9791667,34.77083333
"Papilio",126.0625,34.89583333
"Papilio",126.1041667,34.85416667
"Papilio",126.1041667,35.0625
"Papilio",126.1458333,34.97916667
"Papilio",126.1458333,43.60416667
"Papilio",126.1875,35.02083333
"Papilio",126.1875,35.0625
"Papilio",126.1875,36.6875
"Papilio",126.1875,36.77083333
"Papilio",126.1875,36.89583333
"Papilio",126.2291667,36.8125
"Papilio",126.2708333,35.10416667
"Papilio",126.2708333,36.6875
"Papilio",126.2708333,36.72916667
"Papilio",126.2708333,36.77083333
"Papilio",126.2708333,36.8125
"Papilio",126.3125,34.47916667
"Papilio",126.3125,36.77083333
"Papilio",126.3125,36.8125
"Papilio",126.3125,36.89583333
"Papilio",126.3541667,33.47916667
"Papilio",126.3541667,35.14583333
"Papilio",126.3541667,35.22916667
"Papilio",126.3541667,37.6875
"Papilio",126.3541667,37.77083333
"Papilio",126.3958333,33.39583333
"Papilio",126.3958333,33.47916667
"Papilio",126.3958333,34.52083333
"Papilio",126.3958333,34.60416667
"Papilio",126.3958333,36.72916667
"Papilio",126.3958333,36.77083333
"Papilio",126.3958333,36.8125
"Papilio",126.4375,33.39583333
"Papilio",126.4375,33.4375
"Papilio",126.4375,34.5625
"Papilio",126.4375,34.85416667
"Papilio",126.4375,34.9375
"Papilio",126.4375,35.1875
"Papilio",126.4375,35.3125
"Papilio",126.4375,36.6875
"Papilio",126.4375,36.72916667
"Papilio",126.4375,36.77083333
"Papilio",126.4375,36.8125
"Papilio",126.4375,37.6875
"Papilio",126.4375,37.72916667
"Papilio",126.4375,37.77083333
"Papilio",126.4791667,33.35416667
"Papilio",126.4791667,33.4375
"Papilio",126.4791667,33.47916667
"Papilio",126.4791667,34.5625
"Papilio",126.4791667,34.9375
"Papilio",126.4791667,34.97916667
"Papilio",126.4791667,35.02083333
"Papilio",126.4791667,35.0625
"Papilio",126.4791667,35.1875
"Papilio",126.4791667,35.22916667
"Papilio",126.4791667,36.77083333
"Papilio",126.4791667,37.77083333
"Papilio",126.5208333,33.4375
"Papilio",126.5208333,33.47916667
"Papilio",126.5208333,34.39583333
"Papilio",126.5208333,34.89583333
"Papilio",126.5208333,34.9375
"Papilio",126.5208333,35.10416667
"Papilio",126.5208333,35.1875
"Papilio",126.5208333,36.5625
"Papilio",126.5208333,36.72916667
"Papilio",126.5208333,37.72916667
"Papilio",126.5208333,37.77083333
"Papilio",126.5625,33.4375
"Papilio",126.5625,34.35416667
"Papilio",126.5625,34.47916667
"Papilio",126.5625,34.5625
"Papilio",126.5625,34.72916667
"Papilio",126.5625,34.77083333
"Papilio",126.5625,34.8125
"Papilio",126.5625,34.9375
"Papilio",126.5625,35.1875
"Papilio",126.5625,35.4375
"Papilio",126.5625,35.47916667
"Papilio",126.5625,36.22916667
"Papilio",126.5625,36.3125
"Papilio",126.5625,36.4375
"Papilio",126.5625,36.6875
"Papilio",126.5625,36.8125
"Papilio",126.5625,37.27083333
"Papilio",126.5625,37.6875
"Papilio",126.5625,37.72916667
"Papilio",126.6041667,33.39583333
"Papilio",126.6041667,34.4375
"Papilio",126.6041667,34.47916667
"Papilio",126.6041667,35.10416667
"Papilio",126.6041667,36.1875
"Papilio",126.6041667,36.22916667
"Papilio",126.6041667,36.39583333
"Papilio",126.6041667,36.64583333
"Papilio",126.6041667,36.72916667
"Papilio",126.6041667,36.77083333
"Papilio",126.6458333,33.35416667
"Papilio",126.6458333,33.39583333
"Papilio",126.6458333,34.4375
"Papilio",126.6458333,34.6875
"Papilio",126.6458333,35.14583333
"Papilio",126.6458333,36.35416667
"Papilio",126.6458333,36.47916667
